 PATH path4147 FOUND 
 0) 397.66,1233.33
ERROR
    397.19,1233.01
    395.96,1232.24
    394.27,1231.23
    392.87,1230.51
    390.60,1228.69
    387.85,1225.24
    387.16,1222.85
    386.20,1219.23
    385.24,1214.82
    385.24,1213.85
    384.31,1209.56
    382.65,1203.65
    381.98,1202.16
    380.21,1199.22
    375.50,1193.01
    374.33,1191.71
    371.63,1188.70
    368.25,1184.91
    367.56,1184.13
    365.76,1182.40
    363.29,1180.28
    361.87,1179.47
    358.52,1176.69
    355.17,1173.28
    355.17,1173.04
    354.86,1172.18
    354.18,1170.81
    353.81,1170.29
    353.07,1169.11
    352.25,1167.63
    352.17,1167.33
    351.65,1166.37
    350.67,1164.89
    349.25,1163.32
    347.00,1160.65
    344.24,1156.99
    343.90,1156.31
    342.94,1155.03
    340.82,1152.97
    339.92,1152.36
    337.74,1150.77
    334.88,1148.59
    334.12,1147.92
    332.46,1146.72
    330.10,1145.31
    329.47,1145.12
    328.09,1144.65
    326.42,1144.02
    326.13,1143.86
    324.38,1143.39
    321.13,1142.70
    319.49,1142.46
    316.62,1141.92
    313.52,1141.17
    313.30,1140.97
    312.47,1140.46
    311.11,1139.76
    310.58,1139.57
    308.71,1138.79
    305.74,1137.48
    303.74,1136.51
    298.59,1136.32
ERROR
    294.49,1136.17
    288.98,1135.89
    282.08,1135.23
    280.34,1134.75
    278.76,1135.24
ERROR
    277.41,1135.66
    275.23,1136.15
    269.41,1136.66
    265.69,1136.68
    261.34,1136.76
    256.21,1137.23
    254.58,1138.05
    249.52,1138.21
    240.33,1136.44
    238.78,1135.72
    236.21,1134.69
    232.09,1133.45
    229.41,1133.09
    223.45,1131.48
    216.16,1128.69
    215.24,1127.88
    214.21,1126.86
    212.86,1124.19
    212.41,1121.85
    212.21,1116.24
    212.71,1109.76
    212.97,1109.44
    213.67,1108.52
    214.65,1107.19
    215.18,1106.41
    217.32,1104.74
    221.04,1102.67
    222.16,1102.39
    228.64,1102.22
    236.54,1102.38
    237.11,1102.51
    238.99,1102.75
    241.90,1103.00
    243.41,1103.00
    245.55,1102.89
    248.71,1102.33
    250.35,1101.60
    253.66,1099.50
    257.36,1096.45
    257.67,1095.70
    259.44,1093.72
    262.26,1091.34
    262.58,1091.22
    263.69,1090.75
    265.45,1089.97
    266.10,1089.66
    267.33,1089.10
    268.62,1088.54
    268.80,1088.54
    270.40,1087.86
    273.65,1086.30
    274.90,1085.64
    276.69,1084.52
    279.15,1082.43
    280.20,1080.91
    281.33,1078.41
    281.60,1074.90
    281.11,1074.32
    280.53,1073.41
    279.97,1071.43
    279.98,1070.72
    279.94,1066.96
    279.83,1060.18
    279.69,1054.86
    279.53,1049.30
    278.71,1041.80
    278.19,1040.27
    277.49,1037.78
    276.74,1033.66
    276.70,1032.49
    276.52,1030.15
    276.20,1027.55
    275.86,1026.91
    272.31,1024.34
    267.72,1021.58
    267.26,1021.49
    265.95,1021.14
    264.07,1020.54
    263.50,1020.29
    261.55,1019.77
    258.44,1019.15
    257.30,1019.05
    254.92,1018.71
    252.17,1018.17
    251.80,1017.97
    250.69,1017.44
    249.04,1016.71
    248.06,1016.35
    243.68,1013.48
    237.56,1008.97
    236.49,1007.96
    232.94,1006.15
    227.32,1004.34
    226.42,1004.34
    224.81,1004.17
    222.39,1003.60
    220.59,1002.70
    218.27,1001.11
    215.39,997.25
    214.96,995.50
    214.51,993.40
    214.31,990.44
    214.47,989.90
    214.86,988.59
    215.37,986.87
    215.63,985.97
    217.96,983.31
    221.53,980.25
    222.02,980.09
    225.33,979.76
    232.02,979.34
    236.47,979.22
    242.53,978.98
    249.29,978.47
    250.28,978.08
    253.60,976.33
    257.84,973.85
    258.40,973.41
    260.95,972.49
    266.75,971.11
    268.48,970.86
    271.46,970.06
    275.26,968.38
    275.70,967.91
    276.28,966.96
    277.00,964.59
    277.09,963.61
    277.38,961.51
    277.82,959.01
    278.04,958.42
    278.22,957.39
    278.00,954.87
    277.74,953.88
    277.17,951.27
    276.48,947.69
    276.32,946.30
    275.96,944.30
